gene	Toy_1	Toy_2	Toy_3	Toy_4
A2M	26.7924274222876	55.6912904642923	17.61016583614	12.6529401091674
A4GALT	0.768509761143991	0.812650070051856	0.989744072423775	0.513396280398728
AADACL2	0.284346453540958	0.283016113182808	0.102248701532324	0.0991086855894519
AAK1	39.7876384493687	28.5520506094595	12.2177118339699	14.8485564644085
ABCA1	10.4012526091983	7.96019719633564	16.5119930341378	12.7079133775283
ABCA2	12.3996428249177	12.8436618162803	7.59992644111597	5.79487708350404
ABCA7	67.2413530269923	41.6797782251128	48.4018123252182	39.0785189890223
ABCB1	23.3252567817818	37.6927094701646	22.4057080752785	12.6421733586269
ABCB4	9.71196360028893	6.96466283995909	28.3814146324203	10.8291247044618
ABCB9	2.59085603582235	2.01299179072363	1.54127026625419	1.20149208639155
ABCC4	8.74343615484923	7.34173693013841	4.48844779716092	4.64639168897262
ABCF2	12.8149750403018	12.5934080248012	11.1682405109186	11.3141754002671
ABCG1	33.350296413808	23.5830630640729	40.6743894028752	27.356248112692
ABCG2	1.62889139685334	1.933926999344	0.894207393571521	0.664080065301723
ABHD10	44.6507313311397	42.3021106843659	45.7101313858689	40.5335053222819
ABHD14B	99.6001873530094	81.4834560495225	76.6621260481862	70.5177401585203
ABHD15	15.4675830613587	17.7422093411193	22.1332952799957	13.2316585860774
ABHD17A	32.8525332329758	22.1328619222442	19.3832690211088	16.4889872418369
ABHD2	24.9032947010779	25.1589379051722	22.2650023859593	36.5564171715766
ABHD3	93.8170128875037	101.395922802309	76.8453800691241	89.6581144959932
ABHD5	10.5525532314603	14.8439502406627	13.2579992364524	24.0564842270956
ABI1	147.100061806915	172.049951499501	159.404594421467	147.46798909764
ABI2	7.13923863604777	5.67790857174047	4.01644337718802	3.42108331455458
ABI3	66.7606837681363	109.015606798349	69.4005701662999	91.2650962543405
ABL2	9.07201606771986	6.92343451492872	6.70602182799605	4.94867377691195
ABLIM1	241.51763027993	136.618339015316	108.642339690753	86.751761340794
ABO	2.43642520687961	1.85248636560428	1.35857635888135	1.40844043305096
ABRACL	226.504260028741	310.992492034146	173.75865795036	200.568375484042
ABT1	66.0659641354259	76.1859918308321	67.5607656370146	61.5086178567145
ABTB1	67.0314357227255	54.213125186928	58.6346616102288	68.0595598140568
ACAA1	43.6287207824095	38.8767479086109	42.4395782165258	57.7376195732305
ACAA2	47.990554561268	67.7533324230115	43.8968291072548	56.4839380054697
ACACB	10.1473497403895	6.47926681256981	5.28952124565226	4.60319674517473
ACAD10	36.860106942971	31.3726371238896	30.0747119409815	30.9036007769908
ACADM	27.6109075991363	32.6727199206879	30.2412424929387	25.5704695881624
ACADVL	217.433259576039	219.517750280468	213.346412354307	268.667722070519
ACAP1	199.310351968953	148.248235591268	120.181211612574	95.7762016719968
ACAP2	66.762468799428	64.6262331356775	75.7107214543018	87.3056858595108
ACAP3	14.483818203305	9.63705821915468	11.7963559567338	10.6540607562199
ACAT1	46.6922443844743	51.0928543901521	36.3855383692924	37.7217130747399
ACBD3	39.4749839246072	31.6003948773715	65.6555969991281	40.9897926666259
ACD	39.1965017740082	37.6419618278611	42.2001462110982	32.184435686425
ACE	0.902987374855099	1.59747599457814	1.16457834348839	0.664333873822528
ACER3	12.3862373514818	14.9513907573009	13.3195563158	21.719557031004
ACHE	0.733273993800427	1.02315433708528	1.29056061484179	0.60829715856343
ACIN1	125.654778289454	80.4605094176087	73.9159903058243	63.2934208925622
ACO2	66.0116571731973	62.1884647582517	75.2928561237844	77.8439498895185
ACOT4	1.06876640132235	1.34154067770892	0.515306529440421	0.418608787652776
ACOX1	15.9159084416638	18.7887295113548	16.534690682018	24.5112977284409
ACP1	230.802448727342	248.013886488115	209.50187217429	186.259299413144
ACP5	23.7433646991415	18.2031981469898	23.9650365907032	23.43465532141
ACSL1	37.9067656299693	60.1407778090397	62.0568941564302	130.893910287939
ACSL3	21.476942552132	20.5248765724023	23.1130145809559	21.1290300942874
ACSM1	3.8379635613125	3.25790687325518	5.86897724954338	3.28085027629897
ACSM2A	1.58630253363611	1.63404275797039	0.775082169648489	0.607172296744315
ACSM2B	1.90606456779233	1.97840920172415	0.795290865488583	0.69636341118091
ACSM3	10.0753011113239	8.8056704658685	14.8382883008387	10.0160881354158
ACSS1	55.9656825579206	44.3771184025391	74.530044322908	52.5186461481567
ACSS2	31.161320108156	27.5280426490694	25.6832915229561	52.284328911091
ACTA2	19.9870253807548	21.9709142237902	12.1266302791006	15.3387009054817
ACTB	9032.08752913872	11483.9813233119	10283.4678161667	17259.9545784176
ACTG1	1679.43166311503	1660.87774565477	1286.48740090803	1800.89269010873
ACTN1	156.52608077599	84.5163068454657	57.1506364545914	116.873585079292
ACTN4	39.6220701224561	58.3854933741899	41.9670700439765	49.6514055543166
ACTR2	294.262882476227	332.759693040703	360.632776340085	373.775665291662
ACTR3	206.847583872939	219.926659408311	219.160600531974	256.677564723612
ACY3	1.88151112059099	1.76590843107306	1.91353001081942	1.31246767995956
ACYP2	18.4631112722246	18.313860074424	17.4403179199685	13.8599835856526
ADA	21.9702072092273	22.6877982140097	11.7635489237292	10.6451490904307
ADAD2	0.393817449949391	0.394709765784006	0.390238757797521	0.210208826974749
ADAM10	67.6166238078684	77.2626869679176	65.28665885259	85.0973134719988
ADAM12	2.5860713983348	3.92407371535447	1.65435660492849	1.22567398369864
ADAM17	33.8476108905673	33.9092664437971	33.5223457796934	35.9178403390956
ADAM19	28.9742610202355	30.041212272269	72.5066646368131	35.8504988841865
ADAM23	1.68766568684559	1.59878669840178	1.72680650176964	0.922055771884913
ADAM28	30.2636901263644	21.5560730451462	100.111762441213	40.6619253943846
ADAM8	77.6987115816545	97.4797319428669	100.911867209202	131.434263867445
ADAMDEC1	2.75485616335413	2.76815417123946	3.74457230165014	4.36865668005255
ADAMTS1	0.752195305594422	0.937781247560886	0.372232991869562	0.295537312741388
ADAP2	12.5110911909011	20.9972978720869	25.4729747582385	53.0182212997062
ADAR	184.60189409422	150.575726800169	166.263108001126	162.292921118897
ADARB1	20.0547249629636	12.5788021046276	26.1005143270178	12.9785536894742
ADCY1	0.506129525965989	0.609967887046906	0.289450979984404	0.214542913955952
ADCYAP1	0.314726051920548	0.400982677455499	0.147336088824076	0.120517961541124
ADD1	142.526186899537	110.824445471184	176.62795418826	117.741675590889
ADD3	349.312887250393	275.672545429163	246.164414137554	220.819694044786
ADH5	72.5548825532897	73.2918379851035	58.884858248887	58.7146594936787
ADHFE1	15.5837403408097	23.8044205833058	9.58005134209852	10.1822611448186
ADI1	44.8227933253717	40.4381929343645	42.9165002721256	64.9531346852232
ADIPOR1	184.727442782826	215.005383552635	243.913230916754	303.492928340816
ADIRF	0	0	0	0
ADK	59.8017114857196	64.3614838704167	102.723188063316	61.0740469905371
ADM	11.3877060799645	23.7819512213099	15.8484008949282	26.935055474173
ADNP	55.3658069015925	53.3086163885365	46.0365001601187	35.0077540374992
ADORA3	1.13108801912044	1.87732071543954	1.75002352188832	4.1012938945315
ADPRM	96.1791810281486	59.6719060831384	67.8245328650645	47.8670870378281
ADRB2	49.5920189824437	111.230214886321	51.4963908760275	53.6301448622895
ADSL	20.2071789774761	13.5430181099957	10.2981902568237	9.94924065170669
ADTRP	57.123144575488	23.8737488954841	13.3397512089419	17.4014027392343
AFAP1L2	3.24669329201094	3.85132733797398	3.58441020241773	1.86307313928751
AFF3	26.3792964203613	16.8252454233811	71.0113461277038	27.9253670071767
AFF4	43.9823551237239	31.9238763199711	47.4126292104918	31.8741475351446
AFTPH	52.475587293442	51.9605976232104	66.3829261989463	54.1770875407667
AGAP1	1.09273025263696	2.04060079832219	0.763793507135057	0.515449920815256
AGAP6	1.73306827700133	1.38145075012997	1.10870168936718	0.868184387910355
AGFG1	24.7793141819612	22.2352362074811	32.0594818789012	32.6315260283795
AGMAT	14.4173876898601	7.44228972768726	6.24173419275664	5.14352840438616
AGO2	24.2469789100421	22.1205571021661	20.1183697667319	15.0663978991853
AGO3	11.9585591931543	10.0373354412018	7.88780985498522	7.33591626052748
AGPAT2	33.5553135118939	44.8916179692303	65.4434532012751	102.1834736976
AGPAT4	10.1397774562894	15.2134561441794	8.99528753983073	11.4772678612655
AGPAT5	23.5423222717234	20.2286819124115	43.1728415621199	25.1231396919216
AGPS	11.4872702289797	11.0346460255695	9.23985993654363	11.6553411375668
AGTPBP1	59.6871991807701	70.4833811854926	53.1451606568376	84.7046221924834
AGTRAP	197.638012072763	313.040524830462	295.034050591625	693.783219267904
AHCY	42.7373723212375	37.9215288498066	47.0194031620355	55.1584025645686
AHCYL1	37.4628431053792	34.6372134969648	46.3973067504177	48.6451721914425
AHI1	12.1259650179699	13.1511697485276	10.2476772087657	6.86910008694262
AHNAK	86.0366702126018	109.554741445363	113.172551644452	119.828472277752
AHNAK2	0.489972968113113	0.497804983161951	1.00695311215771	0.435873560905579
AHR	9.97982420454628	12.4572215802005	12.0989608440596	22.4897091068281
AHSA1	163.714557820964	186.367922943918	148.08875039587	147.74998000381
AICDA	1.00982758749016	1.19925475858659	0.879101348134375	0.590523880014811
AIDA	12.8582290163474	10.6799242132552	18.7359925705767	9.91112439174976
AIF1	193.433325827865	340.94149245543	337.173934732667	902.609671862448
AIM2	6.65308929857149	10.4811976924706	10.6131944106806	10.0438302902116
AIMP1	55.5118520456385	47.9208959081603	42.0734713912418	40.5054003083965
AIP	145.076989600999	142.521365923818	119.96432886984	112.648519034303
AK2	42.9444463469708	42.4279535481114	44.390424443141	51.8344723225833
AK3	29.4618731761616	26.644355661112	22.3287343480333	19.6450876271569
AK5	28.1184347936371	12.0148952335772	6.3292025514124	8.22390285273516
AKAP10	67.5477672515138	60.0483501698652	55.2856246372538	54.7590878410694
AKAP12	0.683359589015703	0.868807587534278	0.560934068376288	0.363810216666068
AKAP13	117.090677173086	121.195906215616	113.801279068601	115.951083827047
